Latitude,Longitude,Speed_mph,Point_Index
42.83803093,-78.68777259,0.0291,155
42.83803106,-78.68777268,0.0806,156
42.83803101,-78.68777271,0.069,157
42.83803101,-78.68777272,0.0348,158
42.838031,-78.68777271,0.05,159
42.83803114,-78.6877728,0.0238,160
42.83803102,-78.68777273,0.0551,161
42.83803106,-78.68777284,0.1388,162
42.83803099,-78.68777295,0.2276,163
42.8380309,-78.68777281,0.2866,164
42.83803129,-78.68777274,0.3521,165
42.83803131,-78.68777279,0.2913,166
42.83803127,-78.68777279,0.1537,167
42.83803121,-78.68777271,0.1053,168
42.83803127,-78.68777283,0.1185,169
42.83803122,-78.68777287,0.0979,170
42.8380313,-78.68777282,0.1568,171
42.83803143,-78.68777259,0.3315,172
42.83803142,-78.68777267,0.184,173
42.83803138,-78.68777266,0.0719,174
42.83803141,-78.68777275,0.0938,175
42.83803157,-78.68777262,0.1454,176
42.83803145,-78.68777263,0.0704,177
42.83803144,-78.68777257,0.0964,178
42.83803153,-78.68777256,0.0981,179
42.83803157,-78.68777259,0.1472,180
42.83803159,-78.68777259,0.0985,181
42.83803163,-78.68777257,0.1343,182
42.83803147,-78.68777261,0.2123,183
42.83803156,-78.68777266,0.1195,184
42.83803154,-78.68777247,0.1845,185
42.83803147,-78.68777256,0.1442,186
42.83803143,-78.68777251,0.2382,187
42.83803134,-78.68777276,0.4125,188
42.83803135,-78.68777278,0.262,189
42.83803141,-78.68777283,0.1883,190
42.8380315,-78.68777288,0.111,191
42.83803165,-78.68777276,0.2468,192
42.83803165,-78.68777265,0.1942,193
42.83803163,-78.68777279,0.0746,194
42.83803156,-78.68777289,0.1744,195
42.83803149,-78.68777292,0.2747,196
42.8380315,-78.68777294,0.1687,197
42.83803155,-78.68777294,0.1035,198
42.83803154,-78.68777289,0.1077,199
42.83803155,-78.68777292,0.131,200
42.83803156,-78.68777319,0.3404,201
42.83803158,-78.68777352,0.6583,202
42.83803157,-78.68777383,0.8546,203
42.83803148,-78.68777445,1.2743,204
42.83803144,-78.68777493,1.5508,205
42.83803144,-78.68777544,1.6724,206
42.83803159,-78.68777616,1.965,207
42.83803165,-78.68777699,2.4009,208
42.83803163,-78.68777804,2.7602,209
42.83803173,-78.68777898,3.1359,210
42.8380318,-78.68778015,3.5321,211
42.83803183,-78.68778125,3.5308,212
42.83803191,-78.68778216,3.5508,213
42.838032,-78.68778353,4.0304,214
42.83803198,-78.68778513,4.6323,215
42.83803195,-78.68778681,5.0316,216
42.83803182,-78.6877886,5.4884,217
42.8380317,-78.68779049,5.801,218
42.83803156,-78.68779229,5.9858,219
42.83803154,-78.68779403,6.1565,220
42.83803145,-78.68779623,6.6553,221
42.83803133,-78.68779844,7.1074,222
42.8380314,-78.6878006,7.3966,223
42.83803131,-78.68780282,7.5284,224
42.8380311,-78.68780527,8.0514,225
42.83803097,-78.68780792,8.5406,226
42.83803087,-78.68781044,8.7991,227
42.83803098,-78.68781279,8.8067,228
42.83803089,-78.68781546,9.0663,229
42.83803057,-78.68781833,9.3741,230
42.83803049,-78.68782118,9.7001,231
42.83803061,-78.68782409,10.1299,232
42.83803044,-78.68782742,10.6113,233
42.83803037,-78.68783067,10.9907,234
42.83803029,-78.68783391,11.2697,235
42.83803009,-78.68783708,11.4378,236
42.83802993,-78.68784061,11.7541,237
42.83802992,-78.68784392,11.9567,238
42.83802992,-78.68784732,12.076,239
42.8380299,-78.68785086,12.3678,240
42.83802974,-78.6878547,12.8541,241
42.8380296,-78.68785859,13.2213,242
42.83802949,-78.68786253,13.506,243
42.83802933,-78.68786634,13.7422,244
42.83802933,-78.68787054,14.1527,245
42.83802916,-78.6878748,14.5599,246
42.83802893,-78.68787915,14.917,247
42.83802873,-78.68788341,15.0787,248
42.8380284,-78.68788786,15.3904,249
42.83802807,-78.68789237,15.688,250
42.83802767,-78.68789695,15.8499,251
42.83802734,-78.68790151,16.0187,252
42.83802692,-78.68790632,16.4502,253
42.83802661,-78.68791121,16.8238,254
42.83802598,-78.68791607,17.0542,255
42.8380254,-78.68792063,16.9475,256
42.8380247,-78.68792541,17.0006,257
42.83802408,-78.68793024,17.1327,258
42.83802344,-78.68793525,17.3934,259
42.83802266,-78.68794005,17.5173,260
42.83802194,-78.68794492,17.5405,261
42.83802114,-78.68794995,17.7472,262
42.83802039,-78.68795504,17.9989,263
42.83801947,-78.68796011,18.249,264
42.83801864,-78.68796529,18.4102,265
42.83801788,-78.68797068,18.729,266
42.83801697,-78.68797604,18.9696,267
42.83801606,-78.6879814,19.2402,268
42.83801509,-78.68798712,19.6195,269
42.83801378,-78.6879932,20.1215,270
42.83801273,-78.68799915,20.5192,271
42.83801165,-78.68800526,21.0629,272
42.83801089,-78.68801109,21.2191,273
42.83800982,-78.68801711,21.3993,274
42.83800887,-78.68802301,21.5669,275
42.83800788,-78.68802924,21.9183,276
42.838007,-78.68803571,22.3599,277
